phrases_x,phrases_y,similarities
Show me all the oil rigs in the world,how does economic profit for in country compare to others?,1.124289
Show me all the oil rigs in the world,most profitable insurance company India,1.4588672
Show me all the oil rigs in the world,Give me a detailed breakup of the income and expenses in South-East Asia,1.1469878
Show me all the oil rigs in the world,Show me all the oil rigs in the world,0.0
Show me all the oil rigs in the world,What were the premiums earned by the Indian insurance industry in 2020?,1.0688082
Show me all the oil rigs in the world,How much have premiums grown as compared to claims for India?,1.2154647
Show me all the oil rigs in the world,Which are the best performing insurance firms in India?,1.1004932
Show me all the oil rigs in the world,What is the ROE of the Indian market?,1.2839661
Show me all the oil rigs in the world,What profits were clocked by Cholamandalam in 2020?,1.1804098
Show me all the oil rigs in the world,What is the premiums market share of the top 5 companies in India?,0.98996973
Show me all the oil rigs in the world,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,1.0839659
Show me all the oil rigs in the world,Which are the main distribution channels in India?,1.1544383
Show me all the oil rigs in the world,What are the risks in the motor insurance segment in India?,0.97568405
Show me all the oil rigs in the world,What is the demand potential of India for insurance?,1.0728362
Show me all the oil rigs in the world,How do premiums break down by lines of business in India?,1.1208029
Show me all the oil rigs in the world,What is the share price of Qantas?,1.2231483
Show me all the oil rigs in the world,How many passengers are carried in ?,1.1788261
Show me all the oil rigs in the world,Which are the aircrafts manufactured by Boeing?,1.20951
Show me all the oil rigs in the world,Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.130877
Show me all the oil rigs in the world,Which are the top airports?,1.2814002
Show me all the oil rigs in the world,How many fatal air accidents till date?,1.4015139
Show me all the oil rigs in the world,What is the flow of air traffic in North America?,1.076537
Show me all the oil rigs in the world,What is the fleet of Airbus?,1.1680193
Show me all the oil rigs in the world,Airlines profitability Brazil?,2.7289748
Show me all the oil rigs in the world,Mergers among airline companies?,1.9902705
Show me all the oil rigs in the world,Which are the most profitable airports?,1.2995031
Show me all the oil rigs in the world,What has the capacity movement of airline companies been over the years?,0.9739802
Show me all the oil rigs in the world,Details of the Aban Abraham oil rig?,1.4210235
Show me all the oil rigs in the world,How big is the airlines industry in China?,1.0329332
Show me all the oil rigs in the world,How much money did Lloyd's of London make last year?,1.2219265
Show me all the oil rigs in the world,What was the Calendar year COR versus the Accident year COR for Lloyd's?,1.1463926
Show me all the oil rigs in the world,Which Lloyd's syndicates owns the maximum number of assets?,1.2765467
Show me all the oil rigs in the world,List key performance indicators for AXA?,1.4923964
Show me all the oil rigs in the world,What are the most prominent legal cases?,1.2155088
Show me all the oil rigs in the world,How does oil industry perform in Brazil?,1.03345
Show me all the oil rigs in the world,What is the main driver of growth in automobile industry in Europe?,1.020823
Show me all the oil rigs in the world,Which country in Europe is going to grow the most in 2020?,0.9794503
Show me all the oil rigs in the world,What are the biggest acquisitions in 2020?,1.1206516
Show me all the oil rigs in the world,How impacted is the airline industry in 2020?,1.1295425
Show me all the oil rigs in the world,What are the most prominent bankruptcies in 2020?,1.165987
What were the premiums earned by the Indian insurance industry in 2020?,how company compares to its peers?,1.3995162
What were the premiums earned by the Indian insurance industry in 2020?,what is the detailed income statement breakdown of Axa?,1.1455837
What were the premiums earned by the Indian insurance industry in 2020?,world premium penetration in 2020,1.3400103
What were the premiums earned by the Indian insurance industry in 2020?,How does the forecasted insurance premium penetration in country trend compare to its peers?,0.8787757
What were the premiums earned by the Indian insurance industry in 2020?,what are the total losses for companies in country  non life market?,0.80113983
What were the premiums earned by the Indian insurance industry in 2020?,Insurance premiums market in Country,1.20078
What were the premiums earned by the Indian insurance industry in 2020?,"How have the profit margins been for the airlines industry through the years, by regions?",0.7955971
What were the premiums earned by the Indian insurance industry in 2020?,What is the complete profile of the top oil rigs?,1.0116242
What were the premiums earned by the Indian insurance industry in 2020?,what is company general information?,1.1688759
What were the premiums earned by the Indian insurance industry in 2020?,How is the airline industry performing globally?,1.0658444
What were the premiums earned by the Indian insurance industry in 2020?,how does economic profit for in country compare to others?,1.0190775
What were the premiums earned by the Indian insurance industry in 2020?,most profitable insurance company India,1.1024337
What were the premiums earned by the Indian insurance industry in 2020?,Give me a detailed breakup of the income and expenses in South-East Asia,1.0660784
What were the premiums earned by the Indian insurance industry in 2020?,Show me all the oil rigs in the world,1.0688082
What were the premiums earned by the Indian insurance industry in 2020?,What were the premiums earned by the Indian insurance industry in 2020?,0.0
What were the premiums earned by the Indian insurance industry in 2020?,How much have premiums grown as compared to claims for India?,0.87565774
What were the premiums earned by the Indian insurance industry in 2020?,Which are the best performing insurance firms in India?,0.7944445
What were the premiums earned by the Indian insurance industry in 2020?,What is the ROE of the Indian market?,1.035647
What were the premiums earned by the Indian insurance industry in 2020?,What profits were clocked by Cholamandalam in 2020?,0.89470947
What were the premiums earned by the Indian insurance industry in 2020?,What is the premiums market share of the top 5 companies in India?,0.6660335
What were the premiums earned by the Indian insurance industry in 2020?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.8335934
What were the premiums earned by the Indian insurance industry in 2020?,Which are the main distribution channels in India?,1.1170765
What were the premiums earned by the Indian insurance industry in 2020?,What are the risks in the motor insurance segment in India?,0.6984002
What were the premiums earned by the Indian insurance industry in 2020?,What is the demand potential of India for insurance?,1.015531
What were the premiums earned by the Indian insurance industry in 2020?,How do premiums break down by lines of business in India?,0.7990257
What were the premiums earned by the Indian insurance industry in 2020?,What is the share price of Qantas?,1.1561717
What were the premiums earned by the Indian insurance industry in 2020?,How many passengers are carried in ?,1.1468502
What were the premiums earned by the Indian insurance industry in 2020?,Which are the aircrafts manufactured by Boeing?,1.2123414
What were the premiums earned by the Indian insurance industry in 2020?,Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.1008263
What were the premiums earned by the Indian insurance industry in 2020?,Which are the top airports?,1.1814727
What were the premiums earned by the Indian insurance industry in 2020?,How many fatal air accidents till date?,1.4303733
What were the premiums earned by the Indian insurance industry in 2020?,What is the flow of air traffic in North America?,1.1505871
What were the premiums earned by the Indian insurance industry in 2020?,What is the fleet of Airbus?,1.216752
What were the premiums earned by the Indian insurance industry in 2020?,Airlines profitability Brazil?,2.616723
What were the premiums earned by the Indian insurance industry in 2020?,Mergers among airline companies?,1.8417944
What were the premiums earned by the Indian insurance industry in 2020?,Which are the most profitable airports?,1.2014635
What were the premiums earned by the Indian insurance industry in 2020?,What has the capacity movement of airline companies been over the years?,0.9362887
What were the premiums earned by the Indian insurance industry in 2020?,Details of the Aban Abraham oil rig?,1.5592841
What were the premiums earned by the Indian insurance industry in 2020?,How big is the airlines industry in China?,0.9732892
What were the premiums earned by the Indian insurance industry in 2020?,How much money did Lloyd's of London make last year?,1.1740013
What were the premiums earned by the Indian insurance industry in 2020?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,1.0176327
What were the premiums earned by the Indian insurance industry in 2020?,Which Lloyd's syndicates owns the maximum number of assets?,1.1869794
What were the premiums earned by the Indian insurance industry in 2020?,List key performance indicators for AXA?,1.4675297
What were the premiums earned by the Indian insurance industry in 2020?,What are the most prominent legal cases?,1.1286513
What were the premiums earned by the Indian insurance industry in 2020?,How does oil industry perform in Brazil?,1.1144022
What were the premiums earned by the Indian insurance industry in 2020?,What is the main driver of growth in automobile industry in Europe?,0.92077476
What were the premiums earned by the Indian insurance industry in 2020?,Which country in Europe is going to grow the most in 2020?,0.9877046
What were the premiums earned by the Indian insurance industry in 2020?,What are the biggest acquisitions in 2020?,1.0693275
What were the premiums earned by the Indian insurance industry in 2020?,How impacted is the airline industry in 2020?,0.9652234
What were the premiums earned by the Indian insurance industry in 2020?,What are the most prominent bankruptcies in 2020?,1.0512589
How much have premiums grown as compared to claims for India?,how company compares to its peers?,1.3292562
How much have premiums grown as compared to claims for India?,what is the detailed income statement breakdown of Axa?,1.2205399
How much have premiums grown as compared to claims for India?,world premium penetration in 2020,1.4350612
How much have premiums grown as compared to claims for India?,How does the forecasted insurance premium penetration in country trend compare to its peers?,0.91716427
How much have premiums grown as compared to claims for India?,what are the total losses for companies in country  non life market?,0.9743278
How much have premiums grown as compared to claims for India?,Insurance premiums market in Country,1.4557866
How much have premiums grown as compared to claims for India?,"How have the profit margins been for the airlines industry through the years, by regions?",0.9522721
How much have premiums grown as compared to claims for India?,What is the complete profile of the top oil rigs?,1.1681945
How much have premiums grown as compared to claims for India?,what is company general information?,1.288352
How much have premiums grown as compared to claims for India?,How is the airline industry performing globally?,1.1869748
How much have premiums grown as compared to claims for India?,how does economic profit for in country compare to others?,1.0033871
How much have premiums grown as compared to claims for India?,most profitable insurance company India,1.3468099
How much have premiums grown as compared to claims for India?,Give me a detailed breakup of the income and expenses in South-East Asia,1.1236533
How much have premiums grown as compared to claims for India?,Show me all the oil rigs in the world,1.2154647
How much have premiums grown as compared to claims for India?,What were the premiums earned by the Indian insurance industry in 2020?,0.87565774
How much have premiums grown as compared to claims for India?,How much have premiums grown as compared to claims for India?,0.0
How much have premiums grown as compared to claims for India?,Which are the best performing insurance firms in India?,1.0576932
How much have premiums grown as compared to claims for India?,What is the ROE of the Indian market?,1.3063034
How much have premiums grown as compared to claims for India?,What profits were clocked by Cholamandalam in 2020?,1.0861704
How much have premiums grown as compared to claims for India?,What is the premiums market share of the top 5 companies in India?,0.9212838
How much have premiums grown as compared to claims for India?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.98527306
How much have premiums grown as compared to claims for India?,Which are the main distribution channels in India?,1.2533528
How much have premiums grown as compared to claims for India?,What are the risks in the motor insurance segment in India?,0.9637634
How much have premiums grown as compared to claims for India?,What is the demand potential of India for insurance?,1.1126249
How much have premiums grown as compared to claims for India?,How do premiums break down by lines of business in India?,0.85770077
How much have premiums grown as compared to claims for India?,What is the share price of Qantas?,1.2116997
How much have premiums grown as compared to claims for India?,How many passengers are carried in ?,1.140239
How much have premiums grown as compared to claims for India?,Which are the aircrafts manufactured by Boeing?,1.3472631
How much have premiums grown as compared to claims for India?,Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.0927715
How much have premiums grown as compared to claims for India?,Which are the top airports?,1.3477196
How much have premiums grown as compared to claims for India?,How many fatal air accidents till date?,1.3954164
How much have premiums grown as compared to claims for India?,What is the flow of air traffic in North America?,1.2657148
How much have premiums grown as compared to claims for India?,What is the fleet of Airbus?,1.326297
How much have premiums grown as compared to claims for India?,Airlines profitability Brazil?,2.7394972
How much have premiums grown as compared to claims for India?,Mergers among airline companies?,2.056926
How much have premiums grown as compared to claims for India?,Which are the most profitable airports?,1.2888849
How much have premiums grown as compared to claims for India?,What has the capacity movement of airline companies been over the years?,1.0371988
How much have premiums grown as compared to claims for India?,Details of the Aban Abraham oil rig?,1.723532
How much have premiums grown as compared to claims for India?,How big is the airlines industry in China?,1.1255443
How much have premiums grown as compared to claims for India?,How much money did Lloyd's of London make last year?,1.0378737
How much have premiums grown as compared to claims for India?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,1.1390432
How much have premiums grown as compared to claims for India?,Which Lloyd's syndicates owns the maximum number of assets?,1.3109958
How much have premiums grown as compared to claims for India?,List key performance indicators for AXA?,1.5429113
How much have premiums grown as compared to claims for India?,What are the most prominent legal cases?,1.2104619
How much have premiums grown as compared to claims for India?,How does oil industry perform in Brazil?,1.1283107
How much have premiums grown as compared to claims for India?,What is the main driver of growth in automobile industry in Europe?,1.1546798
How much have premiums grown as compared to claims for India?,Which country in Europe is going to grow the most in 2020?,1.039009
How much have premiums grown as compared to claims for India?,What are the biggest acquisitions in 2020?,1.2036456
How much have premiums grown as compared to claims for India?,How impacted is the airline industry in 2020?,1.1046407
How much have premiums grown as compared to claims for India?,What are the most prominent bankruptcies in 2020?,1.155451
Which are the best performing insurance firms in India?,how company compares to its peers?,1.437519
Which are the best performing insurance firms in India?,what is the detailed income statement breakdown of Axa?,1.214538
Which are the best performing insurance firms in India?,world premium penetration in 2020,1.419625
Which are the best performing insurance firms in India?,How does the forecasted insurance premium penetration in country trend compare to its peers?,0.960392
Which are the best performing insurance firms in India?,what are the total losses for companies in country  non life market?,0.8007056
Which are the best performing insurance firms in India?,Insurance premiums market in Country,1.4848869
Which are the best performing insurance firms in India?,"How have the profit margins been for the airlines industry through the years, by regions?",0.94266057
Which are the best performing insurance firms in India?,What is the complete profile of the top oil rigs?,0.9673008
Which are the best performing insurance firms in India?,what is company general information?,1.164271
Which are the best performing insurance firms in India?,How is the airline industry performing globally?,0.97658074
Which are the best performing insurance firms in India?,how does economic profit for in country compare to others?,1.0539774
Which are the best performing insurance firms in India?,most profitable insurance company India,1.1823701
Which are the best performing insurance firms in India?,Give me a detailed breakup of the income and expenses in South-East Asia,1.1717675
Which are the best performing insurance firms in India?,Show me all the oil rigs in the world,1.1004932
Which are the best performing insurance firms in India?,What were the premiums earned by the Indian insurance industry in 2020?,0.7944445
Which are the best performing insurance firms in India?,How much have premiums grown as compared to claims for India?,1.0576932
Which are the best performing insurance firms in India?,Which are the best performing insurance firms in India?,0.0
Which are the best performing insurance firms in India?,What is the ROE of the Indian market?,1.1154971
Which are the best performing insurance firms in India?,What profits were clocked by Cholamandalam in 2020?,1.004456
Which are the best performing insurance firms in India?,What is the premiums market share of the top 5 companies in India?,0.78402585
Which are the best performing insurance firms in India?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.8479269
Which are the best performing insurance firms in India?,Which are the main distribution channels in India?,0.9761357
Which are the best performing insurance firms in India?,What are the risks in the motor insurance segment in India?,0.7996551
Which are the best performing insurance firms in India?,What is the demand potential of India for insurance?,1.0532082
Which are the best performing insurance firms in India?,How do premiums break down by lines of business in India?,0.9356687
Which are the best performing insurance firms in India?,What is the share price of Qantas?,1.2036933
Which are the best performing insurance firms in India?,How many passengers are carried in ?,1.1158803
Which are the best performing insurance firms in India?,Which are the aircrafts manufactured by Boeing?,1.1273744
Which are the best performing insurance firms in India?,Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.0565715
Which are the best performing insurance firms in India?,Which are the top airports?,0.9082922
Which are the best performing insurance firms in India?,How many fatal air accidents till date?,1.4461411
Which are the best performing insurance firms in India?,What is the flow of air traffic in North America?,1.1653699
Which are the best performing insurance firms in India?,What is the fleet of Airbus?,1.178804
Which are the best performing insurance firms in India?,Airlines profitability Brazil?,2.6751823
Which are the best performing insurance firms in India?,Mergers among airline companies?,1.8344656
Which are the best performing insurance firms in India?,Which are the most profitable airports?,0.93982804
Which are the best performing insurance firms in India?,What has the capacity movement of airline companies been over the years?,0.99844444
Which are the best performing insurance firms in India?,Details of the Aban Abraham oil rig?,1.6499906
Which are the best performing insurance firms in India?,How big is the airlines industry in China?,0.9722232
Which are the best performing insurance firms in India?,How much money did Lloyd's of London make last year?,1.1719075
Which are the best performing insurance firms in India?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,1.1081692
Which are the best performing insurance firms in India?,Which Lloyd's syndicates owns the maximum number of assets?,1.1204278
Which are the best performing insurance firms in India?,List key performance indicators for AXA?,1.3914636
Which are the best performing insurance firms in India?,What are the most prominent legal cases?,0.9927817
Which are the best performing insurance firms in India?,How does oil industry perform in Brazil?,1.0604813
Which are the best performing insurance firms in India?,What is the main driver of growth in automobile industry in Europe?,0.9726544
Which are the best performing insurance firms in India?,Which country in Europe is going to grow the most in 2020?,0.87722737
Which are the best performing insurance firms in India?,What are the biggest acquisitions in 2020?,0.9562581
Which are the best performing insurance firms in India?,How impacted is the airline industry in 2020?,1.0594479
Which are the best performing insurance firms in India?,What are the most prominent bankruptcies in 2020?,0.93947625
What is the ROE of the Indian market?,how company compares to its peers?,1.4915177
What is the ROE of the Indian market?,what is the detailed income statement breakdown of Axa?,1.2348762
What is the ROE of the Indian market?,world premium penetration in 2020,1.562444
What is the ROE of the Indian market?,How does the forecasted insurance premium penetration in country trend compare to its peers?,1.118593
What is the ROE of the Indian market?,what are the total losses for companies in country  non life market?,1.1127651
What is the ROE of the Indian market?,Insurance premiums market in Country,1.769708
What is the ROE of the Indian market?,"How have the profit margins been for the airlines industry through the years, by regions?",1.097179
What is the ROE of the Indian market?,What is the complete profile of the top oil rigs?,1.0435209
What is the ROE of the Indian market?,what is company general information?,1.2075549
What is the ROE of the Indian market?,How is the airline industry performing globally?,1.1911027
What is the ROE of the Indian market?,how does economic profit for in country compare to others?,1.1842848
What is the ROE of the Indian market?,most profitable insurance company India,1.4742906
What is the ROE of the Indian market?,Give me a detailed breakup of the income and expenses in South-East Asia,1.3026254
What is the ROE of the Indian market?,Show me all the oil rigs in the world,1.2839661
What is the ROE of the Indian market?,What were the premiums earned by the Indian insurance industry in 2020?,1.035647
What is the ROE of the Indian market?,How much have premiums grown as compared to claims for India?,1.3063034
What is the ROE of the Indian market?,Which are the best performing insurance firms in India?,1.1154971
What is the ROE of the Indian market?,What is the ROE of the Indian market?,0.0
What is the ROE of the Indian market?,What profits were clocked by Cholamandalam in 2020?,1.1197201
What is the ROE of the Indian market?,What is the premiums market share of the top 5 companies in India?,1.016515
What is the ROE of the Indian market?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,1.16654
What is the ROE of the Indian market?,Which are the main distribution channels in India?,1.1847692
What is the ROE of the Indian market?,What are the risks in the motor insurance segment in India?,1.0871686
What is the ROE of the Indian market?,What is the demand potential of India for insurance?,1.006285
What is the ROE of the Indian market?,How do premiums break down by lines of business in India?,1.1954387
What is the ROE of the Indian market?,What is the share price of Qantas?,1.0680518
What is the ROE of the Indian market?,How many passengers are carried in ?,1.3387392
What is the ROE of the Indian market?,Which are the aircrafts manufactured by Boeing?,1.2738807
What is the ROE of the Indian market?,Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.1063256
What is the ROE of the Indian market?,Which are the top airports?,1.1716356
What is the ROE of the Indian market?,How many fatal air accidents till date?,1.6245348
What is the ROE of the Indian market?,What is the flow of air traffic in North America?,1.178595
What is the ROE of the Indian market?,What is the fleet of Airbus?,1.0924947
What is the ROE of the Indian market?,Airlines profitability Brazil?,2.6482275
What is the ROE of the Indian market?,Mergers among airline companies?,2.0452545
What is the ROE of the Indian market?,Which are the most profitable airports?,1.2080812
What is the ROE of the Indian market?,What has the capacity movement of airline companies been over the years?,1.1198952
What is the ROE of the Indian market?,Details of the Aban Abraham oil rig?,1.6567957
What is the ROE of the Indian market?,How big is the airlines industry in China?,1.1508553
What is the ROE of the Indian market?,How much money did Lloyd's of London make last year?,1.3627176
What is the ROE of the Indian market?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,1.1256497
What is the ROE of the Indian market?,Which Lloyd's syndicates owns the maximum number of assets?,1.331741
What is the ROE of the Indian market?,List key performance indicators for AXA?,1.5412349
What is the ROE of the Indian market?,What are the most prominent legal cases?,1.2230649
What is the ROE of the Indian market?,How does oil industry perform in Brazil?,1.2531059
What is the ROE of the Indian market?,What is the main driver of growth in automobile industry in Europe?,1.0570568
What is the ROE of the Indian market?,Which country in Europe is going to grow the most in 2020?,1.0592905
What is the ROE of the Indian market?,What are the biggest acquisitions in 2020?,1.1502299
What is the ROE of the Indian market?,How impacted is the airline industry in 2020?,1.187796
What is the ROE of the Indian market?,What are the most prominent bankruptcies in 2020?,1.2450166
What profits were clocked by Cholamandalam in 2020?,how company compares to its peers?,1.4420921
What profits were clocked by Cholamandalam in 2020?,what is the detailed income statement breakdown of Axa?,1.2438698
What profits were clocked by Cholamandalam in 2020?,world premium penetration in 2020,1.4422439
What profits were clocked by Cholamandalam in 2020?,How does the forecasted insurance premium penetration in country trend compare to its peers?,1.098568
What profits were clocked by Cholamandalam in 2020?,what are the total losses for companies in country  non life market?,0.9417292
What profits were clocked by Cholamandalam in 2020?,Insurance premiums market in Country,1.5847255
What profits were clocked by Cholamandalam in 2020?,"How have the profit margins been for the airlines industry through the years, by regions?",0.85987306
What profits were clocked by Cholamandalam in 2020?,What is the complete profile of the top oil rigs?,1.1595054
What profits were clocked by Cholamandalam in 2020?,what is company general information?,1.229255
What profits were clocked by Cholamandalam in 2020?,How is the airline industry performing globally?,1.2157706
What profits were clocked by Cholamandalam in 2020?,how does economic profit for in country compare to others?,1.0798768
What profits were clocked by Cholamandalam in 2020?,most profitable insurance company India,1.3120164
What profits were clocked by Cholamandalam in 2020?,Give me a detailed breakup of the income and expenses in South-East Asia,1.1687782
What profits were clocked by Cholamandalam in 2020?,Show me all the oil rigs in the world,1.1804098
What profits were clocked by Cholamandalam in 2020?,What were the premiums earned by the Indian insurance industry in 2020?,0.89470947
What profits were clocked by Cholamandalam in 2020?,How much have premiums grown as compared to claims for India?,1.0861704
What profits were clocked by Cholamandalam in 2020?,Which are the best performing insurance firms in India?,1.004456
What profits were clocked by Cholamandalam in 2020?,What is the ROE of the Indian market?,1.1197201
What profits were clocked by Cholamandalam in 2020?,What profits were clocked by Cholamandalam in 2020?,0.0
What profits were clocked by Cholamandalam in 2020?,What is the premiums market share of the top 5 companies in India?,0.911178
What profits were clocked by Cholamandalam in 2020?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,1.0383025
What profits were clocked by Cholamandalam in 2020?,Which are the main distribution channels in India?,1.1336403
What profits were clocked by Cholamandalam in 2020?,What are the risks in the motor insurance segment in India?,0.9603724
What profits were clocked by Cholamandalam in 2020?,What is the demand potential of India for insurance?,1.0736544
What profits were clocked by Cholamandalam in 2020?,How do premiums break down by lines of business in India?,0.9910726
What profits were clocked by Cholamandalam in 2020?,What is the share price of Qantas?,1.196113
What profits were clocked by Cholamandalam in 2020?,How many passengers are carried in ?,1.1636028
What profits were clocked by Cholamandalam in 2020?,Which are the aircrafts manufactured by Boeing?,1.1606127
What profits were clocked by Cholamandalam in 2020?,Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.0450177
What profits were clocked by Cholamandalam in 2020?,Which are the top airports?,1.2380083
What profits were clocked by Cholamandalam in 2020?,How many fatal air accidents till date?,1.4822804
What profits were clocked by Cholamandalam in 2020?,What is the flow of air traffic in North America?,1.1996775
What profits were clocked by Cholamandalam in 2020?,What is the fleet of Airbus?,1.2732449
What profits were clocked by Cholamandalam in 2020?,Airlines profitability Brazil?,2.5262783
What profits were clocked by Cholamandalam in 2020?,Mergers among airline companies?,1.9075178
What profits were clocked by Cholamandalam in 2020?,Which are the most profitable airports?,1.1815503
What profits were clocked by Cholamandalam in 2020?,What has the capacity movement of airline companies been over the years?,1.0108491
What profits were clocked by Cholamandalam in 2020?,Details of the Aban Abraham oil rig?,1.5476067
What profits were clocked by Cholamandalam in 2020?,How big is the airlines industry in China?,1.1317179
What profits were clocked by Cholamandalam in 2020?,How much money did Lloyd's of London make last year?,1.2192256
What profits were clocked by Cholamandalam in 2020?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,1.0894489
What profits were clocked by Cholamandalam in 2020?,Which Lloyd's syndicates owns the maximum number of assets?,1.221362
What profits were clocked by Cholamandalam in 2020?,List key performance indicators for AXA?,1.5088117
What profits were clocked by Cholamandalam in 2020?,What are the most prominent legal cases?,1.2071464
What profits were clocked by Cholamandalam in 2020?,How does oil industry perform in Brazil?,1.2701565
What profits were clocked by Cholamandalam in 2020?,What is the main driver of growth in automobile industry in Europe?,1.0402441
What profits were clocked by Cholamandalam in 2020?,Which country in Europe is going to grow the most in 2020?,1.0638412
What profits were clocked by Cholamandalam in 2020?,What are the biggest acquisitions in 2020?,1.0589908
What profits were clocked by Cholamandalam in 2020?,How impacted is the airline industry in 2020?,1.1557791
What profits were clocked by Cholamandalam in 2020?,What are the most prominent bankruptcies in 2020?,1.1336503
What is the premiums market share of the top 5 companies in India?,how company compares to its peers?,1.2416711
What is the premiums market share of the top 5 companies in India?,what is the detailed income statement breakdown of Axa?,1.0462778
What is the premiums market share of the top 5 companies in India?,world premium penetration in 2020,1.1811737
What is the premiums market share of the top 5 companies in India?,How does the forecasted insurance premium penetration in country trend compare to its peers?,0.7700091
What is the premiums market share of the top 5 companies in India?,what are the total losses for companies in country  non life market?,0.7494415
What is the premiums market share of the top 5 companies in India?,Insurance premiums market in Country,1.3084325
What is the premiums market share of the top 5 companies in India?,"How have the profit margins been for the airlines industry through the years, by regions?",0.76988775
What is the premiums market share of the top 5 companies in India?,What is the complete profile of the top oil rigs?,0.85422266
What is the premiums market share of the top 5 companies in India?,what is company general information?,0.9790143
What is the premiums market share of the top 5 companies in India?,How is the airline industry performing globally?,1.0065554
What is the premiums market share of the top 5 companies in India?,how does economic profit for in country compare to others?,0.9297075
What is the premiums market share of the top 5 companies in India?,most profitable insurance company India,1.1418995
What is the premiums market share of the top 5 companies in India?,Give me a detailed breakup of the income and expenses in South-East Asia,1.006998
What is the premiums market share of the top 5 companies in India?,Show me all the oil rigs in the world,0.98996973
What is the premiums market share of the top 5 companies in India?,What were the premiums earned by the Indian insurance industry in 2020?,0.6660335
What is the premiums market share of the top 5 companies in India?,How much have premiums grown as compared to claims for India?,0.9212838
What is the premiums market share of the top 5 companies in India?,Which are the best performing insurance firms in India?,0.78402585
What is the premiums market share of the top 5 companies in India?,What is the ROE of the Indian market?,1.016515
What is the premiums market share of the top 5 companies in India?,What profits were clocked by Cholamandalam in 2020?,0.911178
What is the premiums market share of the top 5 companies in India?,What is the premiums market share of the top 5 companies in India?,0.0
What is the premiums market share of the top 5 companies in India?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.7899056
What is the premiums market share of the top 5 companies in India?,Which are the main distribution channels in India?,0.9722555
What is the premiums market share of the top 5 companies in India?,What are the risks in the motor insurance segment in India?,0.74748135
What is the premiums market share of the top 5 companies in India?,What is the demand potential of India for insurance?,0.8916107
What is the premiums market share of the top 5 companies in India?,How do premiums break down by lines of business in India?,0.8022906
What is the premiums market share of the top 5 companies in India?,What is the share price of Qantas?,0.8184188
What is the premiums market share of the top 5 companies in India?,How many passengers are carried in ?,1.1671509
What is the premiums market share of the top 5 companies in India?,Which are the aircrafts manufactured by Boeing?,1.1878537
What is the premiums market share of the top 5 companies in India?,Kdo je nejv?tší konkurent ?eské Pojiš?ovny?,4.0455503
What is the premiums market share of the top 5 companies in India?,Which are the top airports?,1.065286
What is the premiums market share of the top 5 companies in India?,How many fatal air accidents till date?,1.4504348
What is the premiums market share of the top 5 companies in India?,What is the flow of air traffic in North America?,1.032875
What is the premiums market share of the top 5 companies in India?,What is the fleet of Airbus?,1.0942706
What is the premiums market share of the top 5 companies in India?,Airlines profitability Brazil?,2.5361662
What is the premiums market share of the top 5 companies in India?,Mergers among airline companies?,1.839525
What is the premiums market share of the top 5 companies in India?,Which are the most profitable airports?,1.0876251
What is the premiums market share of the top 5 companies in India?,What has the capacity movement of airline companies been over the years?,0.85230696
What is the premiums market share of the top 5 companies in India?,Details of the Aban Abraham oil rig?,1.5224181
What is the premiums market share of the top 5 companies in India?,How big is the airlines industry in China?,0.8752834
What is the premiums market share of the top 5 companies in India?,How much money did Lloyd's of London make last year?,1.140334
What is the premiums market share of the top 5 companies in India?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.9669265
What is the premiums market share of the top 5 companies in India?,Which Lloyd's syndicates owns the maximum number of assets?,1.100865
What is the premiums market share of the top 5 companies in India?,List key performance indicators for AXA?,1.3808814
What is the premiums market share of the top 5 companies in India?,What are the most prominent legal cases?,1.0574667
What is the premiums market share of the top 5 companies in India?,How does oil industry perform in Brazil?,1.0342642
What is the premiums market share of the top 5 companies in India?,What is the main driver of growth in automobile industry in Europe?,0.8012411
What is the premiums market share of the top 5 companies in India?,Which country in Europe is going to grow the most in 2020?,0.85680693
What is the premiums market share of the top 5 companies in India?,What are the biggest acquisitions in 2020?,0.9083854
What is the premiums market share of the top 5 companies in India?,How impacted is the airline industry in 2020?,0.94797325
What is the premiums market share of the top 5 companies in India?,What are the most prominent bankruptcies in 2020?,0.9790383
How will the Brazilian insurance market perform in case of a sluggish economic scenario?,how company compares to its peers?,1.3564072
